promotion_id,promotion_name,promotion_descrition,promotion_start_date,promotion_end_date,promotion_img
1,세뱃돈 장전 완료! 인싸될 준비는 여기👇,"설날이 조금 더 행복한 이유,
바로 세뱃돈 때문일 거야...⭐

그동안 갖고 싶었던 이것.
지금이 지를 때!

#개학준비는_인쇼지",2020-12-25,2022-12-25,https://image.idus.com/image/files/dc36c6f702d4498099b0c1d3779cbdfb.jpg
2,명절증후군 안녕! 🙅‍♀️ 편하게 차리는 집밥세끼🍱,"연휴 끝엔 특식😋
고객님들이 인정한 
아이디어스 수제맛찬으로 
달짠- 달맵- 을 즐겨보세요!

기본반찬은 물론 지역별미까지 
집밥보다 맛있다는 후기가 가득한 

#아이디어스_집밥세끼",2020-12-25,2022-12-25,https://image.idus.com/image/files/6906b8beef92460a9325eb4cc53bd1f8.jpg
3,"2월 20일, 오늘만 할인🎁","매일 0시부터 24시까지!
놓치면 후회하는 오늘만 할인😘

꿀맛템, 자취템, 커플템까지!
부담없이 맞춰보세요🎁",2020-12-25,2022-12-25,https://image.idus.com/image/files/12540bb1a98e4ccf94fc0f7bb5ec44ab.jpg
4,산뜻하고 편안한 🌸봄 슈즈👠,"더 이상 불편한 신발 신지 마세요.🙅‍♀️
손으로 한 땀 한 땀 나만의 맞춤 슈즈로 제작되는
장인의 수제화 하나면 OK👠👞

🌸봄맞이 새신으로 새롭고 산뜻한 기분 만끽해요
#할인 쿠폰 사용 가능",2020-12-25,2022-12-25,https://image.idus.com/image/files/1fa04bdca0eb40e6991a8e561f7822d5.jpg
5,취향을 채우는 원룸 인테리어🌿,"작고 소중한 나만의 공간에
취향을 가득 채워보세요🌿

내 맘에 쏙 드는 소품을 보면
보고만 있어도 에너지가 충전될 거예요🤗",2020-12-25,2022-12-25,https://image.idus.com/image/files/ce37cb1ebeec4ad69ed063a1e0dfbbd9.jpg
